ababa	a bab a
ngibhala	ngi bhal a
ngibhediswa	ngi bhed is w a
ngibheka	ngi bhek a
ngibheke	ngi bhek e
ngibhobozile	ngi bhoboz ile
ngibike	ngi bik e
ngibona	ngi bon a
ngibone	ngi bon e
ngibonge	ngi bong e
ngibulala	ngi bulal a
ngibuthiwe	ngi buth iw e
ngibuza	ngi buz a
ngicabanga	ngi cabang a
ngicashe	ngi cash e
ngicela	ngi cel a
ngicele	ngi cel e
ngicwaninga	ngi cwaning a
ngidabuka	ngi dabuk a
ngidabukela	ngi dabuk el a
ngidede	ngi ded e
ngididwa	ngi did w a
ngidlala	ngi dlal a
ngidlale	ngi dlal e
ngifa	ngi f a
ngifanele	ngi fanel e
ngife	ngi f e
ngifele	ngi f el e
ngifike	ngi fik e
ngifuna	ngi fun a
ngigeze	ngi gez e
ngigobile	ngi gob ile
ngigqolozele	ngi gqoloz el e
ngigxawuzele	ngi gxawuz el e
ngihamba	ngi hamb a
ngihambe	ngi hamb e
ngihambile	ngi hamb ile
ngihlangabezana	ngi hlangabez an a
ngihlangene	ngi hlangen e
ngihlele	ngi hlel e
ngihlezi	ngi hlez i
ngijike	ngi jik e
ngike	ngi ke
ngikhalela	ngi khal el a, ngi khalel a
ngikhathele	ngi khathel e
ngikhohlwe	ngi khohl w e
ngikhona	ngi kho na
ngikhonzeleni	ngi khonz el e ni
ngikhosele	ngi khosel e
ngikhuluma	ngi khulum a
ngikhumbula	ngi khumbul a
ngikubiza	ngi ku biz a
ngikucabanga	ngi ku cabang a
ngikuchazele	ngi ku chaz el e
ngikuhhumuzele	ngi ku hhumuz el e
ngikuhluphe	ngi ku hluph e
ngikukhululela	ngi ku khululel a
ngikunikelani	ngi ku nik el a ni
ngikupuna	ngi ku pun a
ngikuqede	ngi ku qed e
ngikusize	ngi ku siz e
ngikuthole	ngi ku thol e
ngikutshele	ngi ku tshel e
ngikutshelile	ngi ku tshel ile
ngikuzwa	ngi ku zw a
ngikuzwe	ngi ku zw e
ngikweluleka	ngi kw elulek a
ngikwenze	ngi kw enz e
ngikwenzile	ngi kw enz ile
ngikwesaba	ngi kw esab a
ngikwesabe	ngi kw esab e
ngilahle	ngi lahl e
ngilapha	ngi lapha
ngilapho	ngi laph o
ngilena	ngi le na
ngilibophe	ngi li boph e
ngilinde	ngi lind e
ngilokhu	ngi lokhu
ngilungisa	ngi lung is a
ngiluthwe	ngi luth w e
ngimangele	ngi mangel e
ngimazelaphi	ngi m az el a phi
ngimbhekelwe	ngi m bhek el w e
ngimbona	ngi m bon a
ngimbukisise	ngi m buk isis e
ngimdlulisele	ngi m dlul is el e
ngimemeze	ngi memez e
ngimkhonze	ngi m khonz e
ngimlandela	ngi m landel a
ngimqhatha	ngi m qhath a
ngimthathaphi	ngi m thath a phi
ngimuzwa	ngi mu zw a
ngimuzwe	ngi mu zw e
nginamanga	ngi n a ma nga
ngincengani	ngi nceng a ni
ngincome	ngi ncom e
nginedumbe	ngi n e dumbe
nginehlule	ngi n ehlul e
nginemali	ngi n e mali
nginemisebenzi	ngi n e mi sebenz i
nginezindlela	ngi n e zin dlela
ngingaba	ngi nga b a
ngingabukela	ngi nga buk el a
ngingadlula	ngi nga dlul a
ngingafela	ngi nga f el a
ngingafiki	ngi nga fik i
ngingafuni	ngi nga fun i
ngingahamba	ngi nga hamb a
ngingajabula	ngi nga jabul a
ngingajuluki	ngi nga juluk i
ngingakabi	ngi nga ka b i
ngingakadubuli	ngi nga ka dubul i
ngingakaxolisi	ngi nga ka xol is i
ngingakayi	ngi nga ka y i
ngingakhwelanga	ngi nga khwel anga
ngingakuphatha	ngi nga ku phath a
ngingakuthola	ngi nga ku thol a
ngingakutshela	ngi nga ku tshel a
ngingalazi	ngi nga l azi
ngingamsiza	ngi nga m siz a
ngingaphila	ngi nga phil a
ngingaphumeleli	ngi nga phumelel i
ngingasafiki	ngi nga sa fik i
ngingasafuni	ngi nga sa fun i
ngingasawaboni	ngi nga sa wa bon i
ngingasezwa	ngi nga se zw a
ngingasho	ngi nga sho
ngingasindi	ngi nga sind i
ngingathi	ngi nga thi
ngingathini	ngi nga thi ni
ngingawasho	ngi nga wa sho
ngingaxabana	ngi nga xab an a
ngingayibhalisa	ngi nga yi bhal is a
ngingayithathaphi	ngi nga yi thath a phi
ngingaze	ngi nga ze
ngingazi	ngi ng azi
ngingekuhumushe	ngi nge ku humush e
ngingekuthande	ngi nge ku thand e
ngingemxoxele	ngi nge m xox el e
ngingena	ngi ngen a
ngingenwe	ngi ngen w e
ngingenza	ngi ng enz a
ngingufezela	ngi ng u fezela
ngingujehova	ngi ng u jehova
ngingumbhuqwa	ngi ng u m bhuq w a
ngingumfundisi	ngi ng u m fund is i
ngingumthakathi	ngi ng u m thakath i
ngingumuntu	ngi ng u mu ntu
ngingustephan	ngi ng u stephan
nginguzangaza	ngi ng u zangaza
ngino	ngi n o
nginomusa	ngi n o mu sa
ngintantatheka	ngi ntantath ek a
nginuka	ngi nuk a
nginyathela	ng i nyathela, ngi nyathel a
ngiphansi	ngi phansi
ngiphela	ngi phel a
ngiphelekezele	ngi phelekez el e, ngi phelekezel e
ngiphinde	ngi phind e
ngiphindele	ngi phind el e
ngiphuma	ngi phum a
ngiphume	ngi phum e
ngiphumelele	ngi phumel el e
ngiphuthwe	ngi phuth w e
ngiqale	ngi qal e
ngisabambeke	ngi sa bamb ek e
ngisachitha	ngi sa chith a
ngisafanisa	ngi sa fan is a
ngisafuna	ngi sa fun a
ngisahlezi	ngi sa hlez i
ngisakhathele	ngi sa khathel e
ngisakhuluma	ngi sa khulum a
ngisalenza	ngi sa l enz a
ngisalithola	ngi sa li thol a
ngisamfica	ngi sa m fic a
ngisamqabuka	ngi sa m qabuk a
ngisanqikaza	ngi sa nqikaz a
ngisaphila	ngi sa phil a
ngisaphinda	ngi sa phind a
ngisaphinde	ngi sa phind e
ngisasho	ngi sa sho
ngisayixoxela	ngi sa yi xox el a
ngisebenza	ngi sebenz a
ngisebenzisa	ngi sebenz is a
ngisemvakwabo	ngi se mva kwa bo
ngisengxakini	ngi se ngxak ini
ngisethekwini	ngi se thekw ini
ngishaye	ngi shay e
ngishaywa	ngi shay w a
ngishilo	ngi sh ilo
ngisho	ngi sho
ngisiphikise	ngi si phik is e
ngisizeni	ngi siz e ni
ngisuke	ngi suk e
ngisukele	ngi suk el e
ngithande	ngi thand e
ngithe	ngi th e
ngitheni	ngi th e ni
ngithi	ngi thi
ngithoka	ngi thok a
ngithole	ngi thol e
ngithuka	ngi thuk a
ngitshele	ngi tshel e
ngivalelisa	ngi valel is a
ngivele	ngi vel e
ngivuke	ngi vuk e
ngivume	ngi vum e
ngivumelana	ngi vumel an a
ngiwabuza	ngi wa buz a
ngiwakhumbuza	ngi wa khumbuz a
ngiwenza	ngi w enz a
ngiwezwile	ngi w ezw ile
ngiwulole	ngi wu lol e
ngixo	ngixo
ngiyabakitaza	ngi ya ba kitaz a
ngiyabamba	ngi ya bamb a
ngiyabezwela	ngi ya b ezw el a
ngiyabheka	ngi ya bhek a
ngiyabona	ngi ya bon a
ngiyabonga	ngi ya bong a
ngiyabuza	ngi ya buz a
ngiyafunga	ngi ya fung a
ngiyagomela	ngi ya gom el a
ngiyahamba	ngi ya hamb a
ngiyajabula	ngi ya jabul a
ngiyakhala	ngi ya khal a
ngiyakhuluma	ngi ya khulum a
ngiyakhumbula	ngi ya khumbul a
ngiyaklatshelwa	ngi ya klatsh el w a
ngiyakubona	ngi ya ku bon a
ngiyakuhlala	ngi ya ku hlal a
ngiyakukhuza	ngi ya ku khuz a
ngiyakulaya	ngi ya ku lay a
ngiyakutshela	ngi ya ku tshel a
ngiyakwazi	ngi ya kw azi
ngiyakweluleka	ngi ya kw elul ek a
ngiyakwexwaya	ngi ya kw exway a
ngiyalalela	ngi ya lalel a
ngiyamangala	ngi ya mangal a
ngiyamazi	ngi ya m azi
ngiyambongela	ngi ya m bong el a
ngiyambuka	ngi ya m buk a
ngiyamfanisa	ngi ya m fanis a
ngiyamhambisela	ngi ya m hamb is el a
ngiyamkhulumisa	ngi ya m khulum is a
ngiyamqhwanda	ngi ya m qhwand a
ngiyamtshela	ngi ya m tshel a
ngiyaphendula	ngi ya phendul a
ngiyaphinda	ngi ya phind a
ngiyaphupha	ngi ya phuph a
ngiyaqhaqhazela	ngi ya qhaqhaz el a
ngiyasho	ngi ya sho
ngiyasola	ngi ya sol a
ngiyathandaza	ngi ya thandaz a
ngiyawabonga	ngi ya wa bong a
ngiyaxolisa	ngi ya xol is a
ngiyayazi	ngi ya y azi
ngiyaye	ngi yay e
ngiyayesaba	ngi ya y esab a
ngiyazi	ngi y azi
ngiye	ngi y e
ngiyeka	ngi yek a
ngiyeke	ngi yek e
ngiyesaba	ngi y esab a
ngiyethembisa	ngi y ethemb is a
ngiyibeka	ngi yi bek a
ngiyibhale	ngi yi bhal e
ngiyibhalele	ngi yi bhal el e
ngiyibhekile	ngi yi bhek ile
ngiyifuna	ngi yi fun a
ngiyigula	ngi y i gula
ngiyilokhu	ngi yi lo khu
ngiyinkatha	ngi y i n katha
ngiyinkosikazi	ngi y i n kosi kazi
ngiyinkunzi	ngi y i n kunzi
ngiyiqeda	ngi yi qed a
ngiyishayile	ngi yi shay ile
ngiyisiboshwa	ngi y i si bosh w a
ngiyisigwili	ngi y i si gwili
ngiyisikele	ngi yi sik el e
ngiyisilima	ngi y i si lima
ngiyizibe	ngi yi zib e
ngiyobaxosha	ngi yo ba xosh a
ngiyobheka	ngi yo bhek a
ngiyobhobokela	ngi yo bhobok el a
ngiyobonga	ngi yo bong a
ngiyobuye	ngi yo buy e
ngiyobuyela	ngi yo buy el a
ngiyokubonga	ngi yo ku bong a
ngiyokuhlenga	ngi yo ku hleng a
ngiyombulala	ngi yo m bulal a
ngiyomenza	ngi yo m enz a
ngiyomjezisa	ngi yo m jez is a
ngiyomxoxela	ngi yo m xox el a
ngiyothi	ngi yo thi
ngiyotshela	ngi yo tshel a
ngiyoye	ngi yo y e
ngiyozikhunga	ngi yo zi khung a
ngiyozithwebula	ngi yo zi thwebul a
ngiyozwa	ngi yo zw a
ngizakubulalela	ngi za ku bulal el a
ngizama	ngi zam a
ngizame	ngi zam e
ngize	ngi z e
ngizedlulisa	ngi z edlul is a
ngizele	ngi z el e
ngizibeke	ngi zi bek e
ngizibike	ngi zi bik e
ngizifuna	ngi zi fun a
ngizigxiviza	ngi zi gxiviz a
ngizishiya	ngi zi shiy a
ngizitapa	ngi zi tap a
ngizithulele	ngi zi thul el e
ngizoba	ngi zo b a
ngizobabeka	ngi zo ba bek a
ngizobabuza	ngi zo ba buz a
ngizobheka	ngi zo bhek a
ngizobuka	ngi zo buk a
ngizocasha	ngi zo cash a
ngizogawula	ngi zo gawul a
ngizogcinaphi	ngi zo gcin a phi
ngizohlanganisa	ngi zo hlangan is a
ngizokucela	ngi zo ku cel a
ngizokusiza	ngi zo ku siz a
ngizokutshela	ngi zo ku tshel a
ngizokuza	ngi zo ku z a
ngizokwazi	ngi zo kw azi
ngizolungisa	ngi zo lung is a
ngizomfica	ngi zo m fic a
ngizomsiza	ngi zo m siz a
ngizomthola	ngi zo m thol a
ngizonichazela	ngi zo ni chaz el a
ngizonigwinya	ngi zo ni gwiny a
ngizopha	ngi zo ph a
ngizophekelwa	ngi zo phekel w a
ngizophindela	ngi zo phind el a
ngizophithana	ngi zo phith an a
ngizophoqeka	ngi zo phoq ek a
ngizoqale	ngi zo qal e
ngizosho	ngi zo sho
ngizoshona	ngi zo shon a
ngizoshonaphi	ngi zo shon a phi
ngizothi	ngi zo thi
ngizoyiletha	ngi zo yi leth a
ngizozama	ngi zo zam a
ngizwe	ngi zw e
ngizwisise	ngi zw isis e
ngo	ng o
ngoba	ngoba
ngobala	ng o bala
ngobani	ng o bani
ngobhoko	ng o bhoko
ngobuchopho	ng o bu chopho
ngobuciko	ng o bu cik o, ng o bu ciko
ngobudala	ng o bu dala
ngobuhlakani	ng o bu hlakani
ngodadewethu	ng o dade w ethu
ngodaka	ng o daka
ngodishani	ng o dishani
ngodondolo	ng o dondolo
ngoduma	ng o duma
ngohambo	ng o hamb o
ngoke	ngoke
ngokhisimuzi	ng o khisimuz i
ngokuba	ng o ku b a
ngokucasha	ngo ku cash a
ngokudlula	ng o ku dlul a
ngokugxila	ng o ku gxil a
ngokuhamba	ng o ku hamb a
ngokuhlonipha	ng o ku hloniph a
ngokujwayelekile	ng o ku jwayel ek ile
ngokukhala	ngo ku khal a
ngokulandelana	ng o ku landel an a
ngokulingana	ng o ku ling an a
ngokulinganayo	ng o ku ling an a yo
ngokulithunzi	ng o ku lithunzi
ngokulokhu	ng o ku lokhu
ngokungabaza	ng o ku nga baz a
ngokungazami	ng o ku nga zam i
ngokungibhinqa	ng o ku ngi bhinq a
ngokunikina	ng o ku nikin a
ngokunjalo	ng o ku njalo
ngokunqakisana	ng o ku nqak is an a
ngokunye	ng o ku nye
ngokuphazima	ng o ku phazim a
ngokuphehla	ng o ku phehl a
ngokuphelele	ng o ku phel el e
ngokuphikisana	ng o ku phik is an a
ngokuphoxwa	ng o ku phox w a
ngokuqhubeka	ng o ku qhub ek a
ngokuqoma	ng o ku qom a
ngokusebenza	ngo ku sebenz a
ngokushabalala	ng o ku shabalal a
ngokushesha	ng o ku shesh a
ngokuthanda	ng o ku thand a
ngokuthi	ng okuthi
ngokuzama	ng o ku zam a
ngokuzibulala	ng o ku zi bulal a
ngokwami	ng o kwa mi
ngokwasemakhaya	ng o kwa se ma khaya
ngokwedlulele	ng o kw edlul el e
ngokweqisa	ng o kw eq is a
ngokwesichibiyelo	ng o kw e si chibiy el o
ngokwethembeka	ng o kw ethemb ek a
ngokwethuka	ng o kw ethuk a
ngokweyisa	ng o kw eyis a
ngokwezandla	ng o kw e z andla
ngolaka	ng o laka
ngolimi	ng o limi
ngolizzy	ng o lizzy
ngolunye	ng o lu nye
ngolwesihlanu	ng o lw e si hlanu
ngomakoti	ng o makoti
ngomarony	ng o marony
ngombhoshongo	ng o m bhoshongo
ngomcacamezelo	ng o m cacamez el o, ng o m cacamezel o
ngomgqibelo	ng o m gqibel o
ngomhlane	ng o m hlane
ngomkhonzo	ng o m khonz o
ngomlilo	ng o m lilo
ngomlomo	ng o m lomo
ngomnyaka	ng o m nyaka
ngomnyama	ng o m nyama, ngo m nyama
ngomnyango	ng o m nyango
ngomoyelela	ng o moyel el a
ngomshini	ng o m shini
ngomshoshaphansi	ng o m shosh a phansi
ngomuntu	ng o mu ntu
ngomunye	ng o mu nye
ngomuso	ng o mu so
ngomuthi	ng o mu thi
ngonina	ng o nina
ngonozimanga	ng o no zi ma nga
ngonya	ng o ny a
ngonyaka	ng o nyaka
ngonyama	ng o nyama
ngonyawo	ng o nyawo
ngophondo	ng o phondo
ngoqashekayo	ng o qash ek a yo
ngoqhotho	ng o qhotho
ngoshaka	ng o shaka
ngosiko	ng o siko
ngosithembiso	ng o si themb is o
ngosizwile	ng o si zw ile
ngosuku	ng o suku
ngothi	ng o thi
ngovivi	ng o vivi
ngowakhe	ng o wa khe
ngowasemagabheni	ng o wa se ma gabh eni
ngowokuba	ng o w o kuba
ngowomunye	ng o w o mu nye
ngoyinki	ng o yinki
ngqatha	n gqatha
ngqi	ngqi
ngqo	ngqo
ngu	ng u
ngubaba	ng u baba
ngubani	ng u bani
ngubuchwichwichwi	ng u bu chwi chwi chwi
ngubuthatha	ng u bu thatha
ngucome	ng u come
ngugamaliyeli	ng u gamaliyeli
nguhluphile	ng u hluph ile
ngukuba	ng ukuba
ngukufika	ng u ku fik a
ngukuthi	ng ukuthi
ngumagasa	ng u magasa
ngumangubane	ng u mangubane
ngumanhlengethwa	ng u manhlengethwa
ngumanzuza	ng u manzuza
ngumarony	ng u marony
ngumbhulelo	ng u m bhul el o
ngumbuso	ng u m bus o
ngumdali	ng u m dal i
ngumfazi	ng u m fazi
ngumfundisi	ng u m fund is i
ngumkhuhlane	ng u m khuhlane
ngumniniyo	ng u m nini yo
ngumnu	ng u m nu
ngumoya	ng u moya
ngumsebenzi	ng u m sebenz i
ngumshikashika	ng u m shika shika
ngumshini	ngu m shini
ngumuntu	ng u mu ntu
ngumuphi	ngu mu phi
ngumyeni	ng u m yeni
ngumzali	ng u m zal i
ngumzukazuku	ng u m zukazuku
ngumzukuzuku	ng u m zuku zuku
ngunandi	ng u nandi
ngunkosazana	ng u n kosazana
ngunkosikazi	ng u n kosi kazi
ngunkulunkulu	ng u nkulu nkulu
ngunyawo	ng u nyawo
ngupagiyeli	ng u pagiyeli
ngushaka	ng u shaka
ngusiqinti	ngu si qinti
nguthisha	ng u thisha
nguwe	ngu we
nguwena	ngu we na
nguye	ngu ye
nguyena	ngu ye na
nguyise	ng u yise
ngxi	ngxi
nhla	nhla
nhlanhla	nhlanhla
nhloboni	n hlobo ni
nhloko	n hloko
nibe	ni b e
nibona	ni bon a
nicabanga	ni cabang a
nichela	ni chel a
nidedele	ni dedel e
nihambe	ni hamb e
nihlale	ni hlal e
nihlanganise	ni hlangan is e
nikhumbule	ni khumbul e
nikhweze	ni khwez e
niki	niki
nilale	ni lal e
nimbambe	ni m bamb e
nimbeke	ni m bek e
nimise	ni m is e
nimkhweze	ni m khwez e
nimthande	ni m thand e
nimtshele	ni m tshel e
nina	ni na
ningadla	ni nga dl a
ningadli	ni nga dl i
ningamagwala	ni ng a ma gwala
ningamaqhawe	ni ng a ma qhawe
ningaphumeli	ni nga phum el i
ningawuphuzi	ni nga wu phuz i
ningi	ningi
ningiphe	ni ngi ph e
nini	nini
nise	ni s e
nisesikoleni	ni se sikol eni
nisize	ni siz e
nisosizini	ni so siz ini
nithuke	ni thuk e
nixoxa	ni xox a
niyabona	ni ya bon a
niyangiqambela	ni ya ngi qamb el a
niyangizwisa	ni ya ngi zw is a
niyazi	ni y azi
niyazibonela	ni ya zi bon el a
niyitshele	ni yi tshel e
niyoyikhipha	ni yo yi khiph a
nizowaqhamukela	ni zo wa qhamuk el a
njalo	njalo
njani	njani
nje	nje
njena	nje na
njengabadala	njeng a ba dala
njengabantu	njeng a ba ntu
njengalokho	njenga lo kh o
njengamalanda	njeng a ma landa
njengawe	njenga we
njengawo	njenga wo
njengayizolo	njenga yizolo
njengebhasi	njeng e bhasi
njengengxenye	njeng e n gxenye
njengensipho	njeng e n sipho
njengenxenye	njeng e n xenye
njengeselesele	njeng e sele sele
njengezihlabathi	njeng e zi hlabathi
njengezinto	njeng e zin to
njengoba	nje ngoba
njengohlanya	njeng o hlanya
njengokuthatha	njengo ku thath a
njengokuzwa	njeng o ku zw a
njengomakhonya	njeng o ma khonya
njengomhlanga	njeng o m hlanga
njengomhlophekazi	njeng o m hlophe kazi
njengomntanami	njeng o m ntana mi
njengomuntu	njeng o mu ntu
njengonyazi	njeng o n yazi
njo	njo
njulo	n jul o
nkilimane	nkilimane
nkindlane	n kindl ane
nkomazi	n kom azi
nkonzo	n konz o
nkosi	n kosi
nkosikazi	n kosi kazi
nkwe	n kwe
no	n o
nobani	n o bani
nobhanana	n o bhanana
nobhokide	n o bhokide
nobhulose	n o bhulose
nobomvu	n o bomvu
nobovu	n o bovu
nobufakazana	n o bu fakaz ana
nobukholwa	n o bu khol w a
nobuluhlaza	n o bu luhlaza
nobulungiswa	n o bu lung is w a
nobungane	n o bu ngane
nobunyoninco	n o bu nyoninco
nobunzima	n o bu nzima
nobuso	n o bu so
nocela	n o cel a
nochitha	n o chith a
nodokotela	n o dokotela
nodolly	n o dolly
nofasimba	n o fasimba
nogxa	n o gxa
nohlaza	n o hlaza
nohlelo	n o hlel o
nohlobi	n o hlob i
nohluphile	n o hluph ile
nojakobe	n o jakobe
nokaba	n o ka b a
nokho	nokho
nokobejwayeza	n o k o be jwayez a
nokuba	n okuba
nokubona	n o ku bon a
nokuciba	n o ku cib a
nokufa	n o ku f a
nokufulathela	n o ku fulathel a
nokufunda	n o ku fund a
nokufundisa	n o ku fund is a
nokugqiha	n o ku gqih a
nokuguqula	n o ku guqul a
nokuhlala	n o ku hlal a
nokuhlonishwa	n o ku hlonish w a
nokuhumusha	n o ku humush a
nokukhokhiswa	n o ku khokh is w a
nokukhuluma	n o ku khulum a
nokulekelela	n o ku lekel el a
nokuligcina	n o ku li gcin a
nokumhlanza	n o ku m hlanz a
nokumhluphayo	n o ku m hluph a yo
nokumshaya	n o ku m shay a
nokumukisa	n o ku muk is a
nokungaboni	n o ku nga bon i
nokungethembeki	n o ku ng ethemb ek i
nokunyamalala	n o ku nyamalal a
nokunye	n o ku nye
nokuphehla	n o ku phehl a
nokuphendula	n o ku phendul a
nokuphila	n o ku phil a
nokupulukutshelayo	n o ku pulukutsh el a yo
nokusetshenziswa	n o ku setshenz is w a
nokusho	n o ku sho
nokuthatha	n o ku thath a
nokuthenga	n o ku theng a
nokuthi	n o kuthi
nokutshiloza	n o ku tshiloz a
nokuwamelela	n o ku w amel el a
nokuyenza	n o ku y enz a
nokuyothi	n o ku yo thi
nokuzabalaza	n o ku zabalaz a
nokuzenamisa	n o ku z enam is a
nokuzibuka	n o ku zi buk a
nokuzimisela	n o ku zi m is el a
nokuziqhenya	n o ku zi qheny a
nokuzonda	n o ku zond a
nokwahlukana	n o kw ahluk an a
nokwami	n o kwa mi
nokwesaba	n o kw esab a
nokwesula	n o kw esul a
nolahliwe	n o lahl iw e
noluhlaza	n o luhlaza
noluphindwayo	n o lu phind w a yo
noma	noma
nomahazula	n o ma hazula
nomahhohlohhohlo	n o ma hhohlo hhohlo
nomakoti	n o makoti
nomalume	n o malume
nomama	n o mama
nomamba	n o mamba
nomamdunge	n o ma mdunge
nomami	n o mami
nomanzuza	n o manzuza
nombuso	n o m bus o
nomcabango	n o m cabang o
nomdlandla	n o m dlandla
nomeromo	n o meromo
nomfanyana	n o m fany ana
nomfowabo	n o m fo wa bo
nomhlambi	n o m hlamb i
nomjuluko	n o m juluk o
nomkakhe	n o m ka khe
nomkakho	n o m ka kho
nomlomo	n o m lomo
nommbila	n o m mbila
nomnyango	n o m nyango
nompontshi	n o mpontsh i
nomshado	n o m shad o
nomshwalense	n o m shwalense
nomthunzi	n o m thunzi
nomufi	n o mu f i
nomummy	n o mummy
nomuntu	n o mu ntu
nomuny	n o muny
nomunye	n o mu nye
nomunyu	n o munyu
nomuzi	n o mu zi
nomzimba	n o m zimba
nondlela	n o n dlela
nonhleko	n o n hlek o
nonina	n o nina
nonke	no nke
nonkonka	n o nkonka
nonkulunkulu	n o nkulu nkulu
nonomhlanjana	n o nomhlanj ana
nonomoya	n o n o moya
nonyoko	n o nyoko
nophungash	n o phungash
noprofesa	n o profesa
noprofessor	n o professor
norifate	n o rifate
nosakhile	n o s akh ile
nosheleni	n o sheleni
noshintshi	n o shintshi
noshoti	n o shoti
nosiba	n o siba
nosikhuni	n o si khuni
nosimakade	no si makade
nosizayo	n o siz a yo
nosizo	n o siz o
nothanda	n o thand a
nothando	n o thand o
nothi	nothi
nothish	n o thish
nothisha	n o thisha
nothogarma	n o thogarma
nothoko	n o thok o
novalo	n o valo
noyihlo	n o yihlo
noyise	n o yise
nozethu	n o zethu
nozwide	n o zwide
nqatshelwa	nqatshel w a
nsizwa	n sizwa
nsuku	n suku
ntaba	n taba
ntambama	ntambama
ntinini	ntinini
ntombazane	n tombazane
nwi	nwi
nxa	nxa
nxashana	nxashana
nxazonke	nxa zo nke
nxumalo	nxumalo
nya	nya
nyanga	nyanga
nyelele	nyelele
nyoka	nyoka
nyoni	nyoni
nzima	nzima
o	o
obaba	o baba
obabuzayo	o ba buz a yo
obakhe	o ba kh e
obala	o bala
obambisanayo	o bamb is an a yo
obani	o bani
obanzi	o banzi
obasondela	o ba sondel a
obecabanga	o be cabang a
obehamba	o be hamb a
obehlela	o be hlel a
obemele	o be m el e
obengilande	o be ngi land e
obeshiswa	o be sh is w a
obeyibhala	o be yi bhal a
obhalayo	o bhal a yo
obokufa	o b o ku f a
obomvana	o bomv ana
obomvu	o bomvu
obondeni	o bond eni
obonga	o bong a
obonwa	o bon w a
oboti	o boti
obuhamba	o bu hamb a
obukeka	o buk ek a
obukhali	o bukhali
obukhulu	o bu khulu
obunzima	o bu nzima
ocela	o cel a
ocingeni	o cing eni
odakeni	o dak eni
odla	o dl a
odokotela	o dokotela
odonse	o dons e
odumile	o dum ile
ofakwa	o fak w a
ofana	o fan a
ofele	o fel e
ofuna	o fun a
ofundisa	o fund is a
ogama	o gama
ogcwele	o gcwel e
ogoqiwe	o goq iw e
ogulayo	o gul a yo
ogwayi	o gwayi
ohlala	o hlal a
ohlonipha	o hloniph a
ohloniphayo	o hloniph a yo
ohlonishwa	o hlonish w a
ohlwathizayo	o hlwathiz a yo
oholibama	o holibama
oholibhama	o holibham a
ojulukayo	o juluk a yo
ojwayeleka	o jwayel ek a
okaban	o ka ban
okabani	o ka bani
okabuye	o ka buy e
okakudla	o k a ku dl a
okaqwabe	o ka qwabe
oke	o ke
okhalayo	o khal a yo
okhipha	o khiph a
okhiye	o khiy e
okhulekayo	o khul ek a yo
okhuleni	o khul eni
okhulumisa	o khulum is a
okhuthalele	o khuthal el e
okirani	o kirani
okobuso	o k o bus o
okohlanya	o k o hlanya
okokuqala	o k o ku qal a
okomcibisholo	o k o m cibisholo
okomshayi	o k o m shay i
okomuntu	o k o mu ntu
okonakele	o k on akel e
okotshani	o k o tshani
okubalulekile	o ku balul ek ile
okubhala	o ku bhal a
okubhalwe	o ku bhal w e
okubi	o ku bi
okubuhlungu	o ku buhlungu
okubulala	o ku bulal a
okucabanga	o ku cabang a
okudala	o ku dal a
okudingekayo	o ku ding ek a yo
okudla	o ku dl a
okufanele	o ku fan el e
okufuna	o ku fun a
okuhlamba	o ku hlamb a
okuhle	o ku hle
okuhlolwa	o ku hlol w a
okukhanya	o ku khany a
okukhanyisile	o ku khany is ile
okukhombisayo	o ku khomb is a yo
okukhulu	o ku khulu
okulula	o ku lula
okumbambile	o ku m bamb ile
okumbandakanya	o ku m bandakany a
okumdlukumeze	o ku m dlukumez e
okumehlele	o ku m ehlel e
okumele	o ku m el e
okumkhathazayo	o ku m khathaz a yo
okumnyama	o ku mnyama
okumvelelayo	o ku m vel el a yo
okuncane	o ku ncane
okungabafanyana	o ku ng a ba fany ana
okungahambi	o ku nga hamb i
okungaka	o ku ngaka
okunganakekile	o ku nga nak ek ile
okungasho	o ku nga sho
okungasikhanyisela	o ku nga si khany is el a
okungathi	o ku nga thi
okungcono	o ku ngcono
okungenamilenze	o ku nge na mi lenze, o ku ngen a mi lenze
okungenani	o ku nge na ni
okungenazimpondo	o ku nge na zim pondo, o ku ngen a zim pondo
okungenzekanga	o ku ng enz ek anga
okungesiyona	o ku nge si yo na
okungmsiza	o ku ng m siz a
okunguhluphile	o ku ng u hluph ile
okungusikhuni	o ku ng u si khun i
okunika	o ku nik a
okuningi	o ku ningi
okunukayo	o ku nuk a yo
okunyakazayo	o ku nyakaz a yo
okunye	o ku nye
okuphe	o ku ph e
okupheka	o ku phek a
okupheshezayo	o ku pheshez a yo
okuqhubekayo	o ku qhub ek a yo
okusalayo	o ku sal a yo
okusayo	o ku s a yo
okusebenzisa	o ku sebenz is a
okusemoyeni	o ku se moy eni
okusemqoka	o ku se m qoka
okushiwo	o ku sh iw o
okushiwoyo	o ku sh iw o yo
okusho	o ku sho
okusizayo	o ku siz a yo
okusolayo	o ku sol a yo
okuthandayo	o ku thand a yo
okuthile	o ku th ile
okuthiwa	o ku th iw a
okutholakalayo	o ku thol akal a yo
okutshala	o ku tshal a
okutshelile	o ku tshel ile
okuvamise	o ku vam is e
okuyiphinda	o ku yi phind a
okuyiyona	o ku yi yo na
okuyizichwe	o ku y i zi chwe
okuyokwenzeka	o ku yo kw enz ek a
okuzobalungela	o ku zo ba lung el a
